
> @example/docs@0.0.1 start
> astro dev --host 0.0.0.0

  🚀  astro  v1.5.0 started in 116ms
  
  ┃ Local    http://localhost:3000/
  ┃ Network  http://172.16.5.4:3000/
  
09:37:52 PM [astro] update /src/pages/en/ortholinear.md
09:37:52 PM [astro] update /nohup.out
09:38:02 PM [astro] update /src/pages/en/ortholinear.md
09:38:02 PM [astro] update /nohup.out
09:38:13 PM [astro] update /src/pages/en/ortholinear.md
09:38:13 PM [astro] update /nohup.out
09:38:37 PM [astro] update /src/pages/en/ortholinear.md
09:38:37 PM [astro] update /nohup.out
09:39:37 PM [astro] update /src/pages/en/ortholinear.md
09:39:37 PM [astro] update /nohup.out
09:39:46 PM [astro] update /src/pages/en/ortholinear.md
09:39:46 PM [astro] update /nohup.out
09:40:17 PM [astro] update /src/pages/en/ortholinear.md
09:40:17 PM [astro] update /nohup.out
09:41:32 PM [astro] update /src/pages/en/ortholinear.md
09:41:32 PM [astro] update /nohup.out
09:41:41 PM [astro] update /src/pages/en/ortholinear.md
09:41:41 PM [astro] update /nohup.out
09:41:44 PM [astro] update /src/pages/en/ortholinear.md
09:41:44 PM [astro] update /nohup.out
09:41:47 PM [astro] update /src/pages/en/ortholinear.md
09:41:47 PM [astro] update /nohup.out
09:41:57 PM [astro] update /src/pages/en/ortholinear.md
09:41:57 PM [astro] update /nohup.out
09:42:09 PM [astro] update /src/pages/en/ortholinear.md
09:42:09 PM [astro] update /nohup.out
09:42:22 PM [astro] update /src/pages/en/ortholinear.md
09:42:22 PM [astro] update /nohup.out
09:43:41 PM [astro] update /src/pages/en/ortholinear.md
09:43:41 PM [astro] update /nohup.out
09:51:30 PM [astro] update /src/pages/en/staggered.md
09:51:30 PM [astro] update /nohup.out
09:51:32 PM [astro] update /src/pages/en/staggered.md
09:51:32 PM [astro] update /nohup.out
09:51:39 PM [astro] update /src/pages/en/staggered.md
09:51:39 PM [astro] update /nohup.out
09:52:07 PM [astro] update /src/pages/en/staggered.md
09:52:07 PM [astro] update /nohup.out
09:52:09 PM [astro] update /src/pages/en/staggered.md
09:52:09 PM [astro] update /nohup.out
09:52:16 PM [astro] update /src/pages/en/staggered.md
09:52:16 PM [astro] update /nohup.out
09:52:22 PM [astro] update /src/pages/en/staggered.md
09:52:22 PM [astro] update /nohup.out
09:52:26 PM [astro] update /src/pages/en/staggered.md
09:52:26 PM [astro] update /nohup.out
09:52:27 PM [astro] update /src/pages/en/staggered.md
09:52:27 PM [astro] update /nohup.out
09:52:32 PM [astro] update /src/pages/en/staggered.md
09:52:32 PM [astro] update /nohup.out
09:52:35 PM [astro] update /src/pages/en/staggered.md
09:52:35 PM [astro] update /nohup.out
09:52:54 PM [astro] update /src/pages/en/staggered.md
09:52:54 PM [astro] update /nohup.out
09:52:55 PM [astro] update /src/pages/en/staggered.md
09:52:55 PM [astro] update /nohup.out
09:53:00 PM [astro] update /src/pages/en/staggered.md
09:53:00 PM [astro] update /nohup.out
09:53:10 PM [astro] update /src/pages/en/staggered.md
09:53:10 PM [astro] update /nohup.out
09:53:12 PM [astro] update /src/pages/en/staggered.md
09:53:12 PM [astro] update /nohup.out
09:53:17 PM [astro] update /src/pages/en/staggered.md
09:53:17 PM [astro] update /nohup.out
09:53:47 PM [astro] update /src/pages/en/staggered.md
09:53:47 PM [astro] update /nohup.out
09:54:19 PM [astro] update /src/pages/en/staggered.md
09:54:19 PM [astro] update /nohup.out
09:54:24 PM [astro] update /src/pages/en/staggered.md
09:54:24 PM [astro] update /nohup.out
09:54:30 PM [astro] update /src/pages/en/staggered.md
09:54:30 PM [astro] update /nohup.out
09:54:56 PM [astro] update /src/pages/en/staggered.md
09:54:56 PM [astro] update /nohup.out
09:55:00 PM [astro] update /src/pages/en/staggered.md
09:55:00 PM [astro] update /nohup.out
09:55:04 PM [astro] update /src/pages/en/staggered.md
09:55:04 PM [astro] update /nohup.out
09:55:10 PM [astro] update /src/pages/en/staggered.md
09:55:10 PM [astro] update /nohup.out
09:55:29 PM [astro] update /src/pages/en/staggered.md
09:55:29 PM [astro] update /nohup.out
09:55:52 PM [astro] update /src/pages/en/staggered.md
09:55:52 PM [astro] update /nohup.out
09:56:22 PM [astro] update /src/pages/en/staggered.md
09:56:22 PM [astro] update /nohup.out
09:58:01 PM [astro] update /src/pages/en/staggered.md
09:58:01 PM [astro] update /nohup.out
09:58:06 PM [astro] update /src/pages/en/staggered.md
09:58:06 PM [astro] update /nohup.out
09:58:17 PM [astro] update /src/pages/en/staggered.md
09:58:17 PM [astro] update /nohup.out
09:58:23 PM [astro] update /src/pages/en/staggered.md
09:58:23 PM [astro] update /nohup.out
09:58:27 PM [astro] update /src/pages/en/staggered.md
09:58:27 PM [astro] update /nohup.out
10:01:51 PM [astro] update /src/pages/en/staggered.md
10:01:51 PM [astro] update /nohup.out
